REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AGE
VT-BWO,Boeing 737-8 MAX,C4Y174,17 Apr 2025,"""Akyobi"" tail",6.7 Years
VT-BWP,Boeing 737-8 MAX,C4Y174,18 Apr 2025,"""Sanganeri Block Print"" tail",6.7 Years
VT-BWQ,Boeing 737-8 MAX,Y184,29 May 2025,"""Rogan"" W tail",6.4 Years
VT-BWR,Boeing 737-8 MAX,Y184,6 Aug 2024,"lsd, ""Chamba Rumal"" W tail",6.5 Years
VT-BWS,Boeing 737-8 MAX,C4Y174,1 Jun 2025,"""Zardozi"" W tail",7 Years
VT-BWT,Boeing 737-8 MAX,C4Y174,9 Apr 2025,"""Solapur Chaddar"" W tail",6.9 Years
VT-BWU,Boeing 737-8 MAX,Y184,20 Aug 2024,"lsd, ""Kutch"" W tail",6.4 Years
VT-BWV,Boeing 737-8 MAX,C8Y160,16 Jul 2025,"""Idu Mishmi"" tail",6.6 Years
VT-BWW,Boeing 737-8 MAX,C4Y174,11 Apr 2025,"""Moirang Phee"" W tail",6.9 Years
VT-BWX,Boeing 737-8 MAX,C4Y174,29 May 2025,"""Pochampally"" tail",6.9 Years
VT-BXA,Boeing 737-8 MAX,C8Y168,22 Sep 2023,"lsd, ""Bandhani"" W tail",6.8 Years
VT-BXB,Boeing 737-8 MAX,C8Y168,30 Nov 2023,"lsd, ""Phulkari"" W tail",6.5 Years
VT-BXC,Boeing 737-8 MAX,C8Y168,28 Dec 2023,"lsd, ""Paisley"" W tail",6.9 Years
VT-BXD,Boeing 737-8 MAX,C8Y168,27 Sep 2023,"lsd, ""Patola"" W tail",4.6 Years
VT-BXE,Boeing 737-8 MAX,C8Y168,13 Dec 2023,"lsd, ""Kanjeevaram"" W tail",6.4 Years
VT-BXF,Boeing 737-8 MAX,C8Y168,27 Jan 2024,"lsd, ""Warli"" W tail",4.2 Years
VT-BXG,Boeing 737-8 MAX,C8Y168,20 Oct 2023,"lsd, ""Jamdani"" W tail",4.6 Years
VT-BXH,Boeing 737-8 MAX,Y189,9 Dec 2023,"lsd, ""Kalamkari"" W tail",6.8 Years
VT-BXI,Boeing 737-8 MAX,C4Y174,20 Dec 2023,"lsd, ""Gamosa"" W tail",6.6 Years
