REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK
ZK-OYB,Airbus A321-271NX,Y217,18 Nov 2022,Star Alliance (black) W cs
ZK-MZF,ATR 72-600 (72-212A),Y68,4 Dec 2021,"ATR 1600th" sticker
