REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AIRCRAFT NAME,AGE
VT-SUG,Bombardier DHC-8-402 Dash 8 Q400,Y78,31 Oct 2011,Parked at MAA,Jeera,14.5 Years
VT-SUH,Bombardier DHC-8-402 Dash 8 Q400,Y78,29 Jun 2012,Parked / Maintenance,Dhania,14.4 Years
VT-SUI,Bombardier DHC-8-402 Dash 8 Q400,Y78,30 Jun 2012,Parked at MAA,Haldi,14.3 Years
VT-SUJ,Bombardier DHC-8-402 Dash 8 Q400,Y78,18 Dec 2012,Parked / Maintenance,Dalchini,14.3 Years
VT-SUK,Bombardier DHC-8-402 Dash 8 Q400,Y78,18 Dec 2012,Parked at MAA,Sarson,14.2 Years
VT-SUL,Bombardier DHC-8-402 Dash 8 Q400,Y78,30 Jun 2012,Parked / Maintenance,Javitri,14.2 Years
VT-SUM,Bombardier DHC-8-402 Dash 8 Q400,Y78,30 Jun 2012,Parked at MAA,Jaiphal,14.1 Years
VT-SUO,Bombardier DHC-8-402 Dash 8 Q400,Y78,30 Jun 2012,Parked at DEL,Laung,14 Years
VT-SUP,Bombardier DHC-8-402 Dash 8 Q400,Y78,13 Dec 2012,Parked / Maintenance,Imli W,13.9 Years
VT-SUQ,Bombardier DHC-8-402 Dash 8 Q400,Y78,14 Apr 2016,"Parked at MAA, lsd",Tulsi W,14 Years
VT-SUR,Bombardier DHC-8-402 Dash 8 Q400,Y78,18 Oct 2016,"Parked at MAA, lsd",,15.5 Years
VT-SUS,Bombardier DHC-8-402 Dash 8 Q400,Y78,21 Oct 2016,"Parked / Maintenance, lsd",,15.4 Years
VT-SUV,Bombardier DHC-8-402 Dash 8 Q400,Y78,12 May 2017,"Parked at MAA, lsd",,15.5 Years
VT-SUY,Bombardier DHC-8-402 Dash 8 Q400,Y78,21 Nov 2017,"Parked at DEL, lsd",,15.5 Years
