REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AIRCRAFT NAME
VT-SZL,Boeing 737-9GJER(WL),Y212,8 Jun 2015,"lsd, Yu Rise & Conquer Hardik cs",Sesame
VT-MXB,Boeing 737-8 MAX,Y189,1 Dec 2018,"lsd, ""Mankind Pharma Brings Premium DMF Quality"" sticker",Jalapeño W
VT-MXD,Boeing 737-8 MAX,Y189,1 Nov 2018,"lsd, Danube Properties cs",Cinnamon W
