REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AGE
9V-MBS,Boeing 737-8 MAX,C10Y144,27 Aug 2025,,0.6 Years
9V-MBT,Boeing 737-8 MAX,C10Y144,17 Dec 2025,,0.4 Years
9V-MBU,Boeing 737-8 MAX,C10Y144,13 Feb 2026,Parked / Maintenance,Brand new
9V-MBV,Boeing 737-8 MAX,C10Y144,On Order,,Brand new
9V-SFI,Boeing 747-412F,Cargo,1 Apr 2018,opf Singapore Airlines Cargo,25.5 Years
9V-SFK,Boeing 747-412F,Cargo,1 Apr 2018,opf Singapore Airlines Cargo,24 Years
9V-SFM,Boeing 747-412F,Cargo,1 Apr 2018,"Parked / Maintenance, opf Singapore Airlines Cargo",22.6 Years
9V-SFN,Boeing 747-412F,Cargo,1 Apr 2018,opf Singapore Airlines Cargo,22 Years
9V-SFO,Boeing 747-412F,Cargo,1 Apr 2018,opf Singapore Airlines Cargo,21.6 Years
9V-SFP,Boeing 747-412F,Cargo,1 Apr 2018,opf Singapore Airlines Cargo,20.4 Years
9V-SFQ,Boeing 747-412F,Cargo,1 Apr 2018,opf Singapore Airlines Cargo,20.1 Years
9V-SNA,Boeing 777-312ER,F4C48W28Y184,9 Mar 2015,,11 Years
9V-SNB,Boeing 777-312ER,F4C48W28Y184,30 Sep 2015,,10.4 Years
9V-SNC,Boeing 777-312ER,F4C48W28Y184,25 Nov 2015,,10.3 Years
9V-SWB,Boeing 777-312ER,F4C48W28Y184,29 Nov 2006,,19.3 Years
9V-SWG,Boeing 777-312ER,F4C48W28Y184,31 Dec 2006,,19.2 Years
9V-SWH,Boeing 777-312ER,F4C48W28Y184,27 Feb 2007,,19 Years
9V-SWI,Boeing 777-312ER,F4C48W28Y184,9 Mar 2007,(White) Star Alliance W cs,19 Years
9V-SWJ,Boeing 777-312ER,F4C48W28Y184,29 Mar 2007,(White) Star Alliance W cs,18.9 Years
9V-SWK,Boeing 777-312ER,F4C48W28Y184,29 Jun 2007,,18.7 Years
9V-SWL,Boeing 777-312ER,F4C48W28Y184,29 Oct 2007,,18.4 Years
9V-SWM,Boeing 777-312ER,F4C48W28Y184,29 Feb 2008,(White) Star Alliance W cs,18 Years
