REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK
9V-SMF,Airbus A350-941,C42W24Y187,14 Oct 2016,"""10,000th Airbus Aircraft"" sticker"
9V-MBL,Boeing 737-8 MAX,C10Y144,22 Feb 2022,(White) Star Alliance W cs
9V-SWI,Boeing 777-312ER,F4C48W28Y184,9 Mar 2007,(White) Star Alliance W cs
9V-SWJ,Boeing 777-312ER,F4C48W28Y184,29 Mar 2007,(White) Star Alliance W cs
9V-SWM,Boeing 777-312ER,F4C48W28Y184,29 Feb 2008,(White) Star Alliance W cs
9V-SCP,Boeing 787-10 Dreamliner,C36Y301,27 Oct 2023,"""1000th 787 Dreamliner"" sticker"
