REG,AIRCRAFT TYPE,CONFIG,DELIVERED,EXIT DATE,STATUS / FATE,REMARK
VT-TQR,Airbus A320-251N,C8W24Y132,20 Sep 2023,12 Nov 2024,VT-TQR Air India,lsd
VT-TQS,Airbus A320-251N,C8W24Y132,29 Sep 2023,12 Nov 2024,VT-TQS Air India,lsd
VT-TQT,Airbus A320-251N,C8W24Y132,7 Dec 2023,12 Nov 2024,VT-TQT Air India,lsd
VT-TQU,Airbus A320-251N,C8W24Y132,12 Dec 2023,12 Nov 2024,VT-TQU Air India,lsd
VT-TQV,Airbus A320-251N,C8W24Y132,27 Dec 2023,12 Nov 2024,VT-TQV Air India,lsd
VT-TQW,Airbus A320-251N,C8W24Y132,20 Mar 2024,12 Nov 2024,VT-TQW Air India,
VT-TQX,Airbus A320-251N,C8W24Y132,13 Mar 2024,12 Nov 2024,VT-TQX Air India,
VT-TYA,Airbus A320-251N,Y180,3 Mar 2021,12 Nov 2024,VT-TYA Air India,lsd
VT-TYB,Airbus A320-251N,Y180,30 Jun 2021,12 Nov 2024,VT-TYB Air India,lsd
VT-TYC,Airbus A320-251N,Y180,2 Nov 2021,12 Nov 2024,VT-TYC Air India,lsd
VT-TYD,Airbus A320-251N,Y180,25 Nov 2021,12 Nov 2024,VT-TYD Air India,lsd
VT-TYE,Airbus A320-251N,Y180,25 Aug 2022,12 Nov 2024,VT-TYE Air India,lsd
VT-TYF,Airbus A320-251N,Y180,28 Feb 2023,12 Nov 2024,VT-TYF Air India,lsd
VT-TYG,Airbus A320-251N,Y180,16 Feb 2023,12 Nov 2024,VT-TYG Air India,lsd
VT-TVA,Airbus A321-251NX,C12W24Y152,23 Jul 2020,12 Nov 2024,VT-TVA Air India,lsd
VT-TVB,Airbus A321-251NX,C12W24Y152,1 Oct 2020,12 Nov 2024,VT-TVB Air India,lsd
VT-TVC,Airbus A321-251NX,C12W24Y152,7 Jun 2021,12 Nov 2024,VT-TVC Air India,lsd
VT-TVD,Airbus A321-251NX,C12W24Y152,4 Oct 2021,12 Nov 2024,VT-TVD Air India,lsd
VT-TVE,Airbus A321-251NX,C12W24Y152,31 May 2022,12 Nov 2024,VT-TVE Air India,lsd
VT-TVF,Airbus A321-251NX,C12W24Y152,27 Feb 2023,12 Nov 2024,VT-TVF Air India,lsd
VT-TVG,Airbus A321-251NX,C12W24Y152,2 Feb 2023,12 Nov 2024,VT-TVG Air India,lsd
VT-TVH,Airbus A321-251NX,C12W24Y152,17 Mar 2023,12 Nov 2024,VT-TVH Air India,lsd
