REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AGE
A6-EWG,Boeing 777-21HLR,C38Y264,10 Nov 2008,,17.5 Years
A6-EWH,Boeing 777-21HLR,C38Y264,23 Dec 2008,,17.2 Years
A6-EWI,Boeing 777-21HLR,C38W24Y214,26 Jan 2009,,17.1 Years
A6-EWJ,Boeing 777-21HLR,C38Y264,30 Mar 2009,lsd,17 Years
A6-EBK,Boeing 777-31HER,,15 Feb 2006,Under conversion at TLV,20.1 Years
A6-EBM,Boeing 777-31HER,F8C42Y310,23 Mar 2006,,20 Years
A6-EBR,Boeing 777-31HER,F8C42Y304,30 Aug 2006,,19.5 Years
A6-EBU,Boeing 777-31HER,F8C42Y304,23 Oct 2006,,19.4 Years
A6-EBY,Boeing 777-36NER,F8C42Y304,30 Mar 2007,lsd,19 Years
A6-ECA,Boeing 777-36NER,F8C42Y304,21 Jun 2007,lsd,18.8 Years
A6-ECE,Boeing 777-31HER,F8C42Y304,20 Dec 2007,lsd,18.3 Years
A6-ECF,Boeing 777-31HER,F8C42Y304,29 Jan 2008,,18.1 Years
A6-ECG,Boeing 777-31HER,F8C42Y304,22 Apr 2008,,17.9 Years
A6-ECH,Boeing 777-31HER,F8C42Y304,9 May 2008,,17.8 Years
A6-ECI,Boeing 777-31HER,F8C42Y304,25 Jul 2008,,17.7 Years
A6-ECJ,Boeing 777-31HER,F8C42Y304,28 Aug 2008,,17.6 Years
A6-ECK,Boeing 777-31HER,F8C42Y304,10 Dec 2008,,17.3 Years
A6-ECM,Boeing 777-36NER,F8C42Y304,21 Jan 2009,lsd,17.2 Years
A6-ECO,Boeing 777-36NER,F8C42Y304,26 Feb 2009,lsd,17 Years
A6-ECQ,Boeing 777-31HER,F8C42Y304,30 Apr 2009,lsd,16.9 Years
A6-ECR,Boeing 777-31HER,F8C42Y304,26 Jun 2009,lsd,16.7 Years
A6-ECS,Boeing 777-31HER,F8C42Y304,29 Jul 2009,,16.6 Years
A6-ECT,Boeing 777-31HER,F8C42Y304,27 Aug 2009,Parked / Maintenance,16.6 Years
A6-ECU,Boeing 777-31HER,F8C42Y304,29 Sep 2009,,16.5 Years
A6-ECV,Boeing 777-31HER,F8C42Y304,29 Oct 2009,,16.4 Years
A6-ECW,Boeing 777-31HER,F8C42Y304,17 Nov 2009,,16.3 Years
A6-ECX,Boeing 777-31HER,F8C42Y304,25 Nov 2009,,16.3 Years
A6-ECY,Boeing 777-31HER,C35Y386,27 Jan 2010,,16.2 Years
A6-ECZ,Boeing 777-31HER,C35Y386,11 Feb 2010,,16.1 Years
A6-EGA,Boeing 777-31HER,F8C42Y304,14 Apr 2010,,15.9 Years
A6-EGB,Boeing 777-31HER,F8C42Y304,5 May 2011,lsd,14.9 Years
A6-EGC,Boeing 777-31HER,F8C42Y304,14 Jul 2011,"Parked / Maintenance, lsd",14.7 Years
A6-EGD,Boeing 777-31HER,F8C42Y310,18 Jul 2011,,14.7 Years
A6-EGE,Boeing 777-31HER,F8C42Y304,5 Aug 2011,,14.6 Years
A6-EGF,Boeing 777-31HER,F8C42Y304,20 Sep 2011,lsd,14.5 Years
