REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AIRCRAFT NAME,AGE
F-HZUX,Airbus A220-300 (BD-500-1A11),CY148,21 Apr 2023,lsd,Meursault W,2.9 Years
F-HZUY,Airbus A220-300 (BD-500-1A11),CY148,30 May 2023,,Nuits-Saint-Georges W,2.9 Years
F-HZUZ,Airbus A220-300 (BD-500-1A11),CY148,6 Jun 2023,"Parked at LFBF, lsd",Pauillac W,2.8 Years
F-GUGM,Airbus A318-111,CY131,13 Apr 2006,,,19.9 Years
F-GUGN,Airbus A318-111,CY131,26 Oct 2006,,,19.4 Years
F-GUGO,Airbus A318-111,CY131,27 Nov 2006,,,19.3 Years
F-GUGP,Airbus A318-111,CY131,14 Dec 2006,,,19.2 Years
F-GRHY,Airbus A319-111,CY143,15 Nov 2001,Parked at LDE,,24.3 Years
F-GRXF,Airbus A319-111,CY143,23 Apr 2004,,,23 Years
F-GKXC,Airbus A320-214,CY174,10 Jul 2001,,Le Mans W,24.8 Years
F-GKXG,Airbus A320-214,CY178,21 Jan 2003,Parked / Maintenance,Metz W,23.4 Years
F-GKXH,Airbus A320-214,CY174,27 Jun 2019,"Parked / Maintenance, lsd",Montreuil W,23.2 Years
F-GKXI,Airbus A320-214,CY174,27 Jun 2019,lsd,Roissy en France W,23.1 Years
F-GKXJ,Airbus A320-214,CY174,14 Feb 2003,lsd,,23.3 Years
F-GKXL,Airbus A320-214,CY174,16 Mar 2006,lsd,Niort W,20.1 Years
F-GKXM,Airbus A320-214,CY174,30 Mar 2006,lsd,Cahors W,20 Years
F-GKXN,Airbus A320-214,CY174,27 Jun 2019,lsd,,19.2 Years
F-GKXO,Airbus A320-214,CY174,7 Mar 2008,lsd,Bayonne W,18.1 Years
F-GKXP,Airbus A320-214,CY174,11 Apr 2008,lsd,Rodez W,17.9 Years
F-GKXQ,Airbus A320-214,CY178,30 Jan 2009,lsd,Grand Case W,17.1 Years
F-GKXR,Airbus A320-214,CY174,27 Jun 2019,lsd,Saint-Pierre W,17.1 Years
