REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK
B-HLR,Airbus A330-343,C39Y223,28 Sep 2001,Monitoring for Climate Change sticker
B-LRJ,Airbus A350-941,C38W28Y214,9 Dec 2016,80th Anniversary Retro cs
B-LJE,Boeing 747-867F,Cargo,31 Oct 2011,"opf Cathay Cargo, 80th Anniversary Retro cs"
B-KPD,Boeing 777-367ER,F6C53W34Y201,29 Nov 2007,oneworld W cs
B-KQI,Boeing 777-367ER,F6C53W34Y201,30 Sep 2013,oneworld W cs
B-KQL,Boeing 777-367ER,C45W48Y268,20 Dec 2013,oneworld W cs
B-KQM,Boeing 777-367ER,F6C53W34Y201,18 Apr 2014,oneworld W cs
B-KQN,Boeing 777-367ER,C40W32Y296,24 Jun 2014,lsd, oneworld W cs
B-KQU,Boeing 777-367ER,C45W48Y268,19 Dec 2014,Spirit of Hong Kong cs
