REG,AIRCRAFT TYPE,CONFIG,DELIVERED,EXIT DATE,STATUS / FATE,REMARK,AIRCRAFT NAME
VT-EGC,Boeing 747-237B,,4 Apr 1980,,Partially Preserved,,Harshvardhan
VT-ENQ,Boeing 747-212B,F16C40Y338,22 May 1987,4 Feb 1998,NS22UP United Parcel Service (UPS),,Himalaya
VT-EPW,Boeing 747-337M,F16C40Y227/Cargo,21 Oct 1988,2008,Scrapped,,Shivaji
VT-EPX,Boeing 747-337M,F16C40Y227/Cargo,22 Nov 1988,2008,Scrapped,,Narasimha Varman
VT-AIC,Boeing 747-4B5,,28 Nov 2003,27 Nov 2006,HL7607 Korean Air,lsf Korean Air,Sanchi
VT-AID,Boeing 747-4B5,,23 Dec 2003,22 Dec 2006,HL7606 Korean Air,lsf Korean Air,Kaziranga
VT-AIE,Boeing 747-412,F12C50Y313,9 Jul 2004,4 May 2007,N242BA Boeing Aircraft Holding Company,,Mamallapuram
VT-AIF,Boeing 747-412,F12C34Y385,18 Oct 2004,23 Oct 2007,N728BA Boeing Aircraft Holding Company,,Ellora
VT-AIM,Boeing 747-433M,F16C40Y227/Cargo,26 Apr 2005,28 Apr 2008,A6-COM Dubai Royal Air Wing,,Sunderbans
VT-AIQ,Boeing 747-412,,27 Oct 2005,16 Oct 2006,N223BA Boeing Capital Corporation (BCC),,Elephenta
VT-AIS,Boeing 747-4H6,F18C50Y316,22 Sep 2007,23 Sep 2008,N703AC Aircastle,lsd,Sanchi
VT-ESM,Boeing 747-437,F12C26Y385,4 Aug 1993,4 Sep 2009,Written Off,,Konark
VT-ESN,Boeing 747-437,F12C26Y385,12 Nov 1993,2 Jul 2013,Scrapped,lsd,Tanjore
VT-ESO,Boeing 747-437,F12C26Y385,10 Dec 1993,17 Sep 2020,Stored,lsd "Mahatma Gandhi (tail)" W sticker,Khajuraho W
VT-ESP,Boeing 747-437,F12C26Y385,28 Jun 1994,28 Feb 2020,Scrapped,,Ajanta
VT-EVA,Boeing 747-437,F12C26Y385,31 Oct 1996,11 Mar 2021,N940AS AerSale,,Agra W
VT-EVB,Boeing 747-437,F12C26Y385,15 Nov 1996,26 Feb 2020,Scrapped,,Velha Goa
VT-EVJ,Boeing 747-4B5,,22 Nov 2002,9 Mar 2006,HL7606 Korean Air,lsf Korean Air,Fatehpur Sikri
TC-GLA,Boeing 757-2Q8,,Feb 2007,1 Oct 2007,TC-GLA Golden International Airlines,lsf Golden International Airlines,
CS-TLQ,Boeing 767-3Y0ER,,24 Feb 2007,26 Aug 2007,CS-TLQ EuroAtlantic Airways,lsf EuroAtlantic Airways,
G-CDPT,Boeing 767-319ER,,23 Nov 2006,16 Mar 2008,G-CDPT Flyglobespan,lsf Flyglobespan,
G-CEFG,Boeing 767-319ER,,15 May 2007,10 Sep 2008,G-CEFG Flyglobespan,lsf Flyglobespan,
VT-AEE,Boeing 777-232LR,C28W48Y212,17 Apr 2023,15 Jan 2026,Stored,lsd,अविजित / Avijit
VT-AEF,Boeing 777-232LR,C28W48Y212,21 Nov 2022,16 Sep 2025,N399MT Jetran,lsd,विहान / Vihaan
VT-AEG,Boeing 777-232LR,C28W48Y212,15 Dec 2022,21 Sep 2025,N70VL Jetran,lsd,प्रभात / Prabhat
VT-AEH,Boeing 777-232LR,C28W48Y212,13 Jan 2023,3 Jan 2026,Stored,lsd,आलोक / Alok
VT-AIJ,Boeing 777-222ER,C46Y249,17 Feb 2005,20 Aug 2010,N790UA US Bank Trustee,,Neelambari
VT-AIK,Boeing 777-222ER,C46Y244,24 Dec 2004,Apr 2010,N205UA ALAFCO,,Megh Malhaar
VT-AIL,Boeing 777-222ER,C46Y249,10 Mar 2005,12 Jan 2011,N789UA US Bank Trustee,,Kalyani
VT-AIR,Boeing 777-222,F12C49Y197,4 Jan 2006,21 Oct 2010,N719ML Wells Fargo Bank Northwest,,Hamsadhwani
VT-ALA,Boeing 777-237LR,F8C35Y195,25 Jul 2007,30 Dec 2013,A6-LRA Etihad Airways,,Andhra Pradesh
VT-ALB,Boeing 777-237LR,F8C35Y195,23 Aug 2007,3 Mar 2014,A6-LRB Etihad Airways,,Arunachal Pradesh
VT-ALC,Boeing 777-237LR,F8C35Y195,27 Jul 2007,9 Feb 2014,A6-LRC Etihad Airways,,Assam
VT-ALD,Boeing 777-237LR,F8C35Y195,31 Dec 2007,17 May 2014,A6-LRD Etihad Airways,,Gujarat
VT-ALE,Boeing 777-237LR,F8C35Y195,3 Mar 2008,19 Apr 2014,A6-LRE Etihad Airways,,Haryana
VT-ALF,Boeing 777-237LR,F8C35Y195,23 Jun 2009,31 Mar 2025,N14QC Jetran,,झारखंड / Jharkhand W
VT-ALG,Boeing 777-237LR,F8C35Y195,28 Jul 2009,16 Mar 2025,N13QC Jetran,Mahatma Gandhi W tail,केरल / Kerala W
VT-ALH,Boeing 777-237LR,F8C35Y195,28 Aug 2009,12 May 2025,N15QC Jetran,,महाराष्ट्र / Maharashtra W
VT-ALV,Boeing 777-337ER,F4C35Y303,23 Jan 2018,29 May 2018,K7066 Government of India,,Punjab
VT-ALW,Boeing 777-337ER,F4C35Y303,31 Jan 2018,29 Jun 2018,K7067 Government of India,,Rajasthan
VT-ANB,Boeing 787-8 Dreamliner,C18Y238,28 Jan 2014,12 Jun 2025,Written Off,"150 Years of Celebrating the Mahatma W sticker",
VT-TSQ,Boeing 787-9 Dreamliner,C30W36Y226,12 Nov 2024,13 Aug 2025,HS-TWD Thai Airways,lsd,
VT-EIO,Dornier Do-228-201,Y19,24 Aug 2007,Oct 2008,VT-EIO Northeast Shuttles,,
VT-EJO,Dornier Do-228-201,Y19,24 Aug 2007,Oct 2008,VT-EJO Orient Flights Aviation Academy,,
LX-ACV,McDonnell Douglas DC-8-63CF,Cargo,Sep 1979,Mar 1980,LX-ACV Cargolux,lsf Cargolux,
N772FT,McDonnell Douglas DC-8-63CF,,1 Dec 1980,8 Aug 1981,N772FT Flying Tigers,lsf Overseas National Airways (ONA),
N773FT,McDonnell Douglas DC-8-63CF,Cargo,8 Aug 1981,5 Dec 1982,N773FT Flying Tigers,lsf Flying Tigers,
N776FT,McDonnell Douglas DC-8-63CF,,29 Jan 1981,16 Aug 1981,N776FT Flying Tigers,lsf Flying Tigers,
N783FT,McDonnell Douglas DC-8-63AF,Cargo,25 Nov 1982,7 Apr 1983,N783FT Flying Tigers,lsf Flying Tigers,
N790FT,McDonnell Douglas DC-8-63AF,Cargo,5 Dec 1982,Oct 1983,N790FT Flying Tigers,lsf Cammacorp,
N791FT,McDonnell Douglas DC-8-73CF(F),Cargo,23 Aug 1994,Aug 1995,N791FT Emery Worldwide Airlines,lsf Emery Worldwide Airlines,
