REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AIRCRAFT NAME
VT-ATV,Airbus A320-251N,C8W24Y132,12 Nov 2024,"lsd, TATA SIA Airlines Retro cs",
VT-CIN,Airbus A320-251N,C8W24Y132,30 Apr 2018,"lsd, Star Alliance W cs",
VT-EXO,Airbus A320-251N,C8W24Y132,20 Nov 2018,"lsd, Star Alliance W cs",
VT-ALJ,Boeing 777-337ER,F4C35Y303,9 Oct 2007,Star Alliance W cs,बिहार / Bihar W
VT-ALN,Boeing 777-337ER,F4C35Y303,11 Jul 2008,"Celebrating India" sticker,जम्मू एवं कश्मीर / Jammu and Kashmir W
VT-ANC,Boeing 787-8 Dreamliner,C18Y238,20 Jun 2014,"75th Anniversary" sticker,
VT-ANU,Boeing 787-8 Dreamliner,C18Y238,31 Mar 2015,Star Alliance W cs,
